"codi","nom","naturalesa","codi_comarca","nom_comarca","lon","lat","url"
8005965,"Sant Francesc d'Assís","Privat",13,"Barcelonès","2.163426","41.38515","http://www.franciscanesuniversitat.org"
8006052,"Sant Josep Oriol","Privat",13,"Barcelonès","2.157587","41.384432","http://www.escolasantjoseporiol.org"
8006118,"Proa","Privat",13,"Barcelonès","2.13941","41.371456","http://www.escola-proa.cat"
8006143,"Josep Tous","Privat",13,"Barcelonès","2.129361","41.374725","http://escolesmdp.org/joseptous/"
8006209,"Sant Medir","Privat",13,"Barcelonès","2.137869","41.369902","http://www.escolasantmedir.cat"
8006313,"Sant Vicenç de Paül","Privat",13,"Barcelonès","2.14408","41.374005",""
8006465,"Nostra Senyora del Carme","Privat",13,"Barcelonès","2.134888","41.381394","http://lamevaescola.blogspot.com"
8006477,"Lloret","Privat",13,"Barcelonès","2.135663","41.375293","http://www.escolalloret.cat"
8006490,"Montserrat","Privat",13,"Barcelonès","2.137926","41.374755","http://www.institucio-montserrat.cat"
8006532,"Maristes Sants - les Corts","Privat",13,"Barcelonès","2.134823","41.382952","http://slc.maristes.cat"
8006702,"Inglés","Privat",13,"Barcelonès","2.142801","41.418466","0"
8006702,"Inglés","Privat",13,"Barcelonès","2.142801","41.418466",""
8006751,"Virolai","Privat",13,"Barcelonès","2.151764","41.418308","http://www.virolai.com"
8006908,"Vedruna Gràcia Barcelona","Privat",13,"Barcelonès","2.15157","41.404606","http://www.vedrunagracia.cat"
8006945,"Acis-Artur Martorell","Privat",13,"Barcelonès","2.162278","41.416604","http://www.acisarturmartorell.cat"
8006970,"Sant Josep","Privat",13,"Barcelonès","2.155348","41.402334","https://www.santjosepgracia.org/"
8006994,"Sant Josep-Teresianes","Privat",13,"Barcelonès","2.16538","41.405814","http://gracia.escolateresiana.com"
8007032,"La Salle Gràcia","Privat",13,"Barcelonès","2.154952","41.406962","http://www.lasallegracia.cat/"
8007101,"Reina Elisenda","Privat",13,"Barcelonès","2.153356","41.413453","http://www.escolareinaelisenda.com"
8007202,"Escola Patronat Domènech","Públic",13,"Barcelonès","2.158285","41.398428","http://agora.xtec.cat/escolampdomenech/"
8007445,"Escola Pia-Luz Casanova","Privat",13,"Barcelonès","2.175233","41.443117","http://luzcasanova.escolapia.cat/"
8007469,"FEDAC-Amilcar","Privat",13,"Barcelonès","2.171925","41.429779","http://www.fedac.cat/amilcar/"
8007482,"Sant Lluís","Privat",13,"Barcelonès","2.182021","41.442016","http://www.colsantlluis.com"
8007494,"Sagrada Família","Privat",13,"Barcelonès","2.18658","41.438809","http://www.safa.cat"
8007524,"Prínceps 23 d'Abril","Privat",13,"Barcelonès","2.17424","41.440018","http://www.princeps23dabril.com"
8007597,"La Salle Congrés","Privat",13,"Barcelonès","2.181957","41.425942","http://www.congres.lasalle.cat"
8007603,"Arrels","Privat",13,"Barcelonès","2.18115","41.426538","http://www.escola-arrels,cat"
8007721,"Jesús Maria","Privat",13,"Barcelonès","2.183607","41.431306","http://www.jm-santandreu.net"
8007858,"Escolàpies Sant Martí - Barcelona","Privat",13,"Barcelonès","2.18182","41.413039","http://escolapiessantmarti.org"
8007871,"Sant Ferran","Privat",13,"Barcelonès","2.175318","41.442518","http://www.santferranbcn.cat"
8007913,"Mare de Déu de Núria","Privat",13,"Barcelonès","2.185435","41.410707","http://www.emdn.cat/info/"
8008012,"San Rafael","Privat",13,"Barcelonès","2.198928","41.420916","http://www.escolasantrafael.cat"
8008036,"Joan Roca 1953","Privat",13,"Barcelonès","2.186604","41.419624","http://www.escolajoanroca.cat"
8008191,"Santa Maria dels Apòstols","Privat",13,"Barcelonès","2.210447","41.418369","http://www.smapostols.org"
8008267,"L'Esperança","Privat",13,"Barcelonès","2.200885","41.446667","http://escolaesperanca.cat"
8008279,"FEDAC-Sant Andreu","Privat",13,"Barcelonès","2.191689","41.432073","http://www.fedac.cat/santandreu.php"
